tool	step	expected_rc	actual_rc	content_check	status	evidence
go125	pull:0:0:log:logs/redis-pull.log	
go125	run:0:0:cid:ba5454c316f458dc4291136767a994bb28cdd2279791087ed46836c9de90ef64	
go125	pong:0:0:PONG:logs/redis-ping-go125.log	
go125	inspect:0:0:json:logs/redis-inspect-go125.json	
go125	vfs:0:0:pkg:logs/go125-B-candidate-full-vfs.log	
go125	stop:0:0:rc:logs/redis-stop-go125.log	
go125	gone:1:0:none:logs/redis-gone-go125.log	
go126	pull:0:0:log:logs/redis-pull.log	
go126	run:0:0:cid:393893e629e964dafbbfdb36e7d193b51f798af48a4d1d7d4a3f2f09e8c985fc	
go126	pong:0:0:PONG:logs/redis-ping-go126.log	
go126	inspect:0:0:json:logs/redis-inspect-go126.json	
go126	vfs:0:0:pkg:logs/go126-B-candidate-full-vfs.log	
go126	stop:0:0:rc:logs/redis-stop-go126.log	
go126	gone:1:0:none:logs/redis-gone-go126.log	
